
TTD - Therapeutic Targets Database Full Data Download File
Version 6.1.01 (2017.10.04)
Provided by BIDD   BioInformatic and Drug Design Group
                   Department of Pharmacy
                   National Unviersity of Singapore
                   http://bidd.nus.edu.sg/group/bidd.htm
Any question about data provided here, please contact with:
Prof. Chen (csccyz@nus.edu.sg) and Prof. Zhu (zhufeng@cqu.edu.cn, http://idrb.cqu.edu.cn/Peoples-PI.php)

--------------------------------------------------------------------------------------------------------

TTDID	KEGG pathway ID	KEGG pathway name
T11211	hsa05200	Pathways in cancer
T11211	hsa05215	Prostate cancer
T11288	hsa02010	ABC transporters
T11288	hsa04071	Sphingolipid signaling pathway
T11288	hsa04977	Vitamin digestion and absorption
T11288	hsa05206	MicroRNAs in cancer
T11448	hsa04022	cGMP-PKG signaling pathway
T11448	hsa04080	Neuroactive ligand-receptor interaction
T11754	hsa04723	Retrograde endocannabinoid signaling
T11843	hsa00130	Ubiquinone and other terpenoid-quinone biosynthesis
T12187	mtu00473	D-Alanine metabolism
T12187	mtu00550	Peptidoglycan biosynthesis
T12187	mtu01100	Metabolic pathways
T12187	mtu01502	Vancomycin resistance
T12475	hsa04080	Neuroactive ligand-receptor interaction
T12475	hsa04912	GnRH signaling pathway
T12499	hsa04064	NF-kappa B signaling pathway
T12499	hsa04380	Osteoclast differentiation
T12499	hsa04650	Natural killer cell mediated cytotoxicity
T12499	hsa04660	T cell receptor signaling pathway
T12499	hsa05166	HTLV-I infection
T12499	hsa05340	Primary immunodeficiency
T12819	hsa04115	p53 signaling pathway
T12819	hsa04120	Ubiquitin mediated proteolysis
T12966	hsa04020	Calcium signaling pathway
T12966	hsa04260	Cardiac muscle contraction
T12966	hsa04261	Adrenergic signaling in cardiomyocytes
T12966	hsa05410	Hypertrophic cardiomyopathy (HCM)
T12966	hsa05414	Dilated cardiomyopathy
T13201	hsa00910	Nitrogen metabolism
T13251	hsa04060	Cytokine-cytokine receptor interaction
T13251	hsa04620	Toll-like receptor signaling pathway
T13251	hsa04622	RIG-I-like receptor signaling pathway
T13251	hsa04630	Jak-STAT signaling pathway
T13251	hsa04940	Type I diabetes mellitus
T13251	hsa05133	Pertussis
T13251	hsa05134	Legionellosis
T13251	hsa05140	Leishmaniasis
T13251	hsa05142	Chagas disease (American trypanosomiasis)
T13251	hsa05143	African trypanosomiasis
T13251	hsa05144	Malaria
T13251	hsa05145	Toxoplasmosis
T13251	hsa05146	Amoebiasis
T13251	hsa05152	Tuberculosis
T13251	hsa05162	Measles
T13251	hsa05164	Influenza A
T13251	hsa05168	Herpes simplex infection
T13251	hsa05321	Inflammatory bowel disease (IBD)
T13251	hsa05330	Allograft rejection
T13259	hsa00250	Alanine, aspartate and glutamate metabolism
T13259	hsa00650	Butanoate metabolism
T13259	hsa01100	Metabolic pathways
T13260	hsa00140	Steroid hormone biosynthesis
T13260	hsa01100	Metabolic pathways
T13260	hsa04913	Ovarian steroidogenesis
T13644	hsa04080	Neuroactive ligand-receptor interaction
T13726	hsa03320	PPAR signaling pathway
T13726	hsa04151	PI3K-Akt signaling pathway
T13726	hsa04919	Thyroid hormone signaling pathway
T13726	hsa04920	Adipocytokine signaling pathway
T13726	hsa04932	Non-alcoholic fatty liver disease (NAFLD)
T13726	hsa04976	Bile secretion
T13726	hsa05160	Hepatitis C
T13726	hsa05200	Pathways in cancer
T13726	hsa05202	Transcriptional misregulation in cancer
T13726	hsa05216	Thyroid cancer
T13726	hsa05222	Small cell lung cancer
T13726	hsa05223	Non-small cell lung cancer
T13852	hsa04068	FoxO signaling pathway
T13852	hsa04071	Sphingolipid signaling pathway
T13852	hsa04080	Neuroactive ligand-receptor interaction
T13999	hsa04970	Salivary secretion
T13999	hsa04972	Pancreatic secretion
T13999	hsa05110	Vibrio cholerae infection
T14065	hsa04151	PI3K-Akt signaling pathway
T14065	hsa04510	Focal adhesion
T14065	hsa04512	ECM-receptor interaction
T14065	hsa04514	Cell adhesion molecules (CAMs)
T14065	hsa04672	Intestinal immune network for IgA production
T14065	hsa04810	Regulation of actin cytoskeleton
T14065	hsa05202	Transcriptional misregulation in cancer
T14065	hsa05410	Hypertrophic cardiomyopathy (HCM)
T14065	hsa05412	Arrhythmogenic right ventricular cardiomyopathy (ARVC)
T14065	hsa05414	Dilated cardiomyopathy
T14597	hsa04012	ErbB signaling pathway
T14597	hsa04020	Calcium signaling pathway
T14597	hsa04066	HIF-1 signaling pathway
T14597	hsa04510	Focal adhesion
T14597	hsa04520	Adherens junction
T14597	hsa05200	Pathways in cancer
T14597	hsa05205	Proteoglycans in cancer
T14597	hsa05206	MicroRNAs in cancer
T14597	hsa05212	Pancreatic cancer
T14597	hsa05213	Endometrial cancer
T14597	hsa05215	Prostate cancer
T14597	hsa05219	Bladder cancer
T14597	hsa05223	Non-small cell lung cancer
T14597	hsa05230	Central carbon metabolism in cancer
T14602	hsa04610	Complement and coagulation cascades
T14908	hsa00600	Sphingolipid metabolism
T14908	hsa01100	Metabolic pathways
T15000	hsa04514	Cell adhesion molecules (CAMs)
T15000	hsa04660	T cell receptor signaling pathway
T15000	hsa05320	Autoimmune thyroid disease
T15000	hsa05323	Rheumatoid arthritis
T15569	hsa00280	Valine, leucine and isoleucine degradation
T15569	hsa00630	Glyoxylate and dicarboxylate metabolism
T15569	hsa00640	Propanoate metabolism
T15569	hsa01100	Metabolic pathways
T15569	hsa01200	Carbon metabolism
T16156	hsa04060	Cytokine-cytokine receptor interaction
T16156	hsa04630	Jak-STAT signaling pathway
T16514	hsa00061	Fatty acid biosynthesis
T16514	hsa01100	Metabolic pathways
T16514	hsa01212	Fatty acid metabolism
T16514	hsa04152	AMPK signaling pathway
T16514	hsa04910	Insulin signaling pathway
T16633	hsa04024	cAMP signaling pathway
T16633	hsa04080	Neuroactive ligand-receptor interaction
T16688	hsa00561	Glycerolipid metabolism
T16688	hsa00830	Retinol metabolism
T16688	hsa01100	Metabolic pathways
T16688	hsa04975	Fat digestion and absorption
T16792	hsa04919	Thyroid hormone signaling pathway
T17163	hsa04060	Cytokine-cytokine receptor interaction
T17163	hsa04080	Neuroactive ligand-receptor interaction
T17163	hsa04152	AMPK signaling pathway
T17163	hsa04630	Jak-STAT signaling pathway
T17163	hsa04920	Adipocytokine signaling pathway
T17163	hsa04932	Non-alcoholic fatty liver disease (NAFLD)
T17345	hsa00670	One carbon pool by folate
T17345	hsa00790	Folate biosynthesis
T17345	hsa01100	Metabolic pathways
T17448	hsa00340	Histidine metabolism
T17758	hsa04064	NF-kappa B signaling pathway
T17758	hsa04610	Complement and coagulation cascades
T17758	hsa05202	Transcriptional misregulation in cancer
T17758	hsa05205	Proteoglycans in cancer
T17758	hsa05206	MicroRNAs in cancer
T17980	hsa04071	Sphingolipid signaling pathway
T17980	hsa04360	Axon guidance
T17980	hsa04380	Osteoclast differentiation
T17980	hsa04510	Focal adhesion
T17980	hsa04520	Adherens junction
T17980	hsa04611	Platelet activation
T17980	hsa04650	Natural killer cell mediated cytotoxicity
T17980	hsa04660	T cell receptor signaling pathway
T17980	hsa04664	Fc epsilon RI signaling pathway
T17980	hsa04725	Cholinergic synapse
T17980	hsa05020	Prion diseases
T17980	hsa05130	Pathogenic Escherichia coli infection
T17980	hsa05162	Measles
T17980	hsa05416	Viral myocarditis
T19433	hsa00590	Arachidonic acid metabolism
T19433	hsa01100	Metabolic pathways
T19615	hsa04060	Cytokine-cytokine receptor interaction
T19615	hsa04151	PI3K-Akt signaling pathway
T19615	hsa04630	Jak-STAT signaling pathway
T19615	hsa04640	Hematopoietic cell lineage
T19615	hsa05144	Malaria
T20178	hsa04010	MAPK signaling pathway
T20178	hsa04060	Cytokine-cytokine receptor interaction
T20178	hsa04064	NF-kappa B signaling pathway
T20178	hsa04071	Sphingolipid signaling pathway
T20178	hsa04150	mTOR signaling pathway
T20178	hsa04210	Apoptosis
T20178	hsa04350	TGF-beta signaling pathway
T20178	hsa04380	Osteoclast differentiation
T20178	hsa04612	Antigen processing and presentation
T20178	hsa04620	Toll-like receptor signaling pathway
T20178	hsa04621	NOD-like receptor signaling pathway
T20178	hsa04622	RIG-I-like receptor signaling pathway
T20178	hsa04640	Hematopoietic cell lineage
T20178	hsa04650	Natural killer cell mediated cytotoxicity
T20178	hsa04660	T cell receptor signaling pathway
T20178	hsa04664	Fc epsilon RI signaling pathway
T20178	hsa04668	TNF signaling pathway
T20178	hsa04920	Adipocytokine signaling pathway
T20178	hsa04930	Type II diabetes mellitus
T20178	hsa04932	Non-alcoholic fatty liver disease (NAFLD)
T20178	hsa04940	Type I diabetes mellitus
T20178	hsa05010	Alzheimer's disease
T20178	hsa05014	Amyotrophic lateral sclerosis (ALS)
T20178	hsa05133	Pertussis
T20178	hsa05134	Legionellosis
T20178	hsa05140	Leishmaniasis
T20178	hsa05142	Chagas disease (American trypanosomiasis)
T20178	hsa05143	African trypanosomiasis
T20178	hsa05144	Malaria
T20178	hsa05145	Toxoplasmosis
T20178	hsa05146	Amoebiasis
T20178	hsa05152	Tuberculosis
T20178	hsa05160	Hepatitis C
T20178	hsa05161	Hepatitis B
T20178	hsa05164	Influenza A
T20178	hsa05166	HTLV-I infection
T20178	hsa05168	Herpes simplex infection
T20178	hsa05205	Proteoglycans in cancer
T20178	hsa05310	Asthma
T20178	hsa05321	Inflammatory bowel disease (IBD)
T20178	hsa05322	Systemic lupus erythematosus
T20178	hsa05323	Rheumatoid arthritis
T20178	hsa05330	Allograft rejection
T20178	hsa05332	Graft-versus-host disease
T20178	hsa05410	Hypertrophic cardiomyopathy (HCM)
T20178	hsa05414	Dilated cardiomyopathy
T20401	hsa00910	Nitrogen metabolism
T20401	hsa04964	Proximal tubule bicarbonate reclamation
T20401	hsa04966	Collecting duct acid secretion
T20401	hsa04971	Gastric acid secretion
T20401	hsa04972	Pancreatic secretion
T20401	hsa04976	Bile secretion
T20514	hsa00860	Porphyrin and chlorophyll metabolism
T20514	hsa01100	Metabolic pathways
T20709	hsa04080	Neuroactive ligand-receptor interaction
T20709	hsa04725	Cholinergic synapse
T20709	hsa04810	Regulation of actin cytoskeleton
T20710	hsa04060	Cytokine-cytokine receptor interaction
T20710	hsa04144	Endocytosis
T20710	hsa04151	PI3K-Akt signaling pathway
T20710	hsa04630	Jak-STAT signaling pathway
T20710	hsa04640	Hematopoietic cell lineage
T20710	hsa05162	Measles
T20710	hsa05166	HTLV-I infection
T20761	hsa04014	Ras signaling pathway
T20761	hsa04015	Rap1 signaling pathway
T20761	hsa04060	Cytokine-cytokine receptor interaction
T20761	hsa04066	HIF-1 signaling pathway
T20761	hsa04150	mTOR signaling pathway
T20761	hsa04151	PI3K-Akt signaling pathway
T20761	hsa04370	VEGF signaling pathway
T20761	hsa04510	Focal adhesion
T20761	hsa05200	Pathways in cancer
T20761	hsa05205	Proteoglycans in cancer
T20761	hsa05206	MicroRNAs in cancer
T20761	hsa05211	Renal cell carcinoma
T20761	hsa05212	Pancreatic cancer
T20761	hsa05219	Bladder cancer
T20761	hsa05323	Rheumatoid arthritis
T21334	hsa04060	Cytokine-cytokine receptor interaction
T21334	hsa04064	NF-kappa B signaling pathway
T21334	hsa04380	Osteoclast differentiation
T21334	hsa04917	Prolactin signaling pathway
T21334	hsa05323	Rheumatoid arthritis
T22095	hsa04060	Cytokine-cytokine receptor interaction
T22095	hsa05321	Inflammatory bowel disease (IBD)
T22095	hsa05323	Rheumatoid arthritis
T22118	hsa04020	Calcium signaling pathway
T22118	hsa04024	cAMP signaling pathway
T22118	hsa04080	Neuroactive ligand-receptor interaction
T22118	hsa04540	Gap junction
T22118	hsa04728	Dopaminergic synapse
T22118	hsa05012	Parkinson's disease
T22118	hsa05030	Cocaine addiction
T22118	hsa05031	Amphetamine addiction
T22118	hsa05032	Morphine addiction
T22118	hsa05034	Alcoholism
T22212	hsa04145	Phagosome
T22212	hsa04380	Osteoclast differentiation
T22212	hsa04611	Platelet activation
T22212	hsa04666	Fc gamma R-mediated phagocytosis
T22212	hsa05140	Leishmaniasis
T22212	hsa05150	Staphylococcus aureus infection
T22212	hsa05152	Tuberculosis
T22212	hsa05322	Systemic lupus erythematosus
T22285	hsa04014	Ras signaling pathway
T22285	hsa04015	Rap1 signaling pathway
T22285	hsa04020	Calcium signaling pathway
T22285	hsa04024	cAMP signaling pathway
T22285	hsa04080	Neuroactive ligand-receptor interaction
T22285	hsa04713	Circadian entrainment
T22285	hsa04720	Long-term potentiation
T22285	hsa04724	Glutamatergic synapse
T22285	hsa04728	Dopaminergic synapse
T22285	hsa05010	Alzheimer's disease
T22285	hsa05014	Amyotrophic lateral sclerosis (ALS)
T22285	hsa05030	Cocaine addiction
T22285	hsa05031	Amphetamine addiction
T22285	hsa05033	Nicotine addiction
T22285	hsa05034	Alcoholism
T22285	hsa05322	Systemic lupus erythematosus
T22939	hsa04114	Oocyte meiosis
T22939	hsa04914	Progesterone-mediated oocyte maturation
T23003	hsa04010	MAPK signaling pathway
T23003	hsa04012	ErbB signaling pathway
T23003	hsa04014	Ras signaling pathway
T23003	hsa04015	Rap1 signaling pathway
T23003	hsa04022	cGMP-PKG signaling pathway
T23003	hsa04024	cAMP signaling pathway
T23003	hsa04062	Chemokine signaling pathway
T23003	hsa04066	HIF-1 signaling pathway
T23003	hsa04068	FoxO signaling pathway
T23003	hsa04071	Sphingolipid signaling pathway
T23003	hsa04114	Oocyte meiosis
T23003	hsa04151	PI3K-Akt signaling pathway
T23003	hsa04270	Vascular smooth muscle contraction
T23003	hsa04320	Dorso-ventral axis formation
T23003	hsa04370	VEGF signaling pathway
T23003	hsa04380	Osteoclast differentiation
T23003	hsa04510	Focal adhesion
T23003	hsa04540	Gap junction
T23003	hsa04550	Signaling pathways regulating pluripotency of stem cells
T23003	hsa04620	Toll-like receptor signaling pathway
T23003	hsa04650	Natural killer cell mediated cytotoxicity
T23003	hsa04660	T cell receptor signaling pathway
T23003	hsa04662	B cell receptor signaling pathway
T23003	hsa04664	Fc epsilon RI signaling pathway
T23003	hsa04666	Fc gamma R-mediated phagocytosis
T23003	hsa04668	TNF signaling pathway
T23003	hsa04720	Long-term potentiation
T23003	hsa04722	Neurotrophin signaling pathway
T23003	hsa04725	Cholinergic synapse
T23003	hsa04726	Serotonergic synapse
T23003	hsa04730	Long-term depression
T23003	hsa04810	Regulation of actin cytoskeleton
T23003	hsa04910	Insulin signaling pathway
T23003	hsa04912	GnRH signaling pathway
T23003	hsa04914	Progesterone-mediated oocyte maturation
T23003	hsa04915	Estrogen signaling pathway
T23003	hsa04916	Melanogenesis
T23003	hsa04917	Prolactin signaling pathway
T23003	hsa04919	Thyroid hormone signaling pathway
T23003	hsa04921	Oxytocin signaling pathway
T23003	hsa05020	Prion diseases
T23003	hsa05034	Alcoholism
T23003	hsa05161	Hepatitis B
T23003	hsa05164	Influenza A
T23003	hsa05200	Pathways in cancer
T23003	hsa05205	Proteoglycans in cancer
T23003	hsa05206	MicroRNAs in cancer
T23003	hsa05210	Colorectal cancer
T23003	hsa05211	Renal cell carcinoma
T23003	hsa05212	Pancreatic cancer
T23003	hsa05213	Endometrial cancer
T23003	hsa05214	Glioma
T23003	hsa05215	Prostate cancer
T23003	hsa05216	Thyroid cancer
T23003	hsa05218	Melanoma
T23003	hsa05219	Bladder cancer
T23003	hsa05220	Chronic myeloid leukemia
T23003	hsa05221	Acute myeloid leukemia
T23003	hsa05223	Non-small cell lung cancer
T23003	hsa05230	Central carbon metabolism in cancer
T23003	hsa05231	Choline metabolism in cancer
T23145	hsa00140	Steroid hormone biosynthesis
T23145	hsa01100	Metabolic pathways
T23145	hsa04913	Ovarian steroidogenesis
T23172	hsa04062	Chemokine signaling pathway
T23172	hsa04151	PI3K-Akt signaling pathway
T23172	hsa04550	Signaling pathways regulating pluripotency of stem cells
T23172	hsa04630	Jak-STAT signaling pathway
T23172	hsa05162	Measles
T23172	hsa05166	HTLV-I infection
T23172	hsa05169	Epstein-Barr virus infection
T23172	hsa05203	Viral carcinogenesis
T23172	hsa05340	Primary immunodeficiency
T23292	hsa00531	Glycosaminoglycan degradation
T23292	hsa01100	Metabolic pathways
T23292	hsa04142	Lysosome
T23499	hsa04020	Calcium signaling pathway
T23499	hsa04022	cGMP-PKG signaling pathway
T23499	hsa04024	cAMP signaling pathway
T23499	hsa04080	Neuroactive ligand-receptor interaction
T23499	hsa04270	Vascular smooth muscle contraction
T23499	hsa04924	Renin secretion
T23499	hsa05200	Pathways in cancer
T23714	hsa04020	Calcium signaling pathway
T23714	hsa04022	cGMP-PKG signaling pathway
T23714	hsa04071	Sphingolipid signaling pathway
T23714	hsa04080	Neuroactive ligand-receptor interaction
T23714	hsa04610	Complement and coagulation cascades
T23714	hsa04750	Inflammatory mediator regulation of TRP channels
T23714	hsa04810	Regulation of actin cytoskeleton
T23714	hsa04961	Endocrine and other factor-regulated calcium reabsorption
T23714	hsa05142	Chagas disease (American trypanosomiasis)
T23714	hsa05200	Pathways in cancer
T24836	hsa04610	Complement and coagulation cascades
T24983	hsa04080	Neuroactive ligand-receptor interaction
T24983	hsa04728	Dopaminergic synapse
T25005	hsa04064	NF-kappa B signaling pathway
T25005	hsa04380	Osteoclast differentiation
T25005	hsa04611	Platelet activation
T25005	hsa04662	B cell receptor signaling pathway
T25005	hsa04664	Fc epsilon RI signaling pathway
T25005	hsa05340	Primary immunodeficiency
T25163	hsa00250	Alanine, aspartate and glutamate metabolism
T25163	hsa00330	Arginine and proline metabolism
T25163	hsa00910	Nitrogen metabolism
T25163	hsa01100	Metabolic pathways
T25163	hsa01200	Carbon metabolism
T25163	hsa01230	Biosynthesis of amino acids
T25258	hsa02010	ABC transporters
T25258	hsa04976	Bile secretion
T25258	hsa05206	MicroRNAs in cancer
T25464	hsa04010	MAPK signaling pathway
T25464	hsa04020	Calcium signaling pathway
T25464	hsa04022	cGMP-PKG signaling pathway
T25464	hsa04114	Oocyte meiosis
T25464	hsa04210	Apoptosis
T25464	hsa04310	Wnt signaling pathway
T25464	hsa04360	Axon guidance
T25464	hsa04370	VEGF signaling pathway
T25464	hsa04380	Osteoclast differentiation
T25464	hsa04650	Natural killer cell mediated cytotoxicity
T25464	hsa04660	T cell receptor signaling pathway
T25464	hsa04662	B cell receptor signaling pathway
T25464	hsa04720	Long-term potentiation
T25464	hsa04724	Glutamatergic synapse
T25464	hsa04728	Dopaminergic synapse
T25464	hsa04921	Oxytocin signaling pathway
T25464	hsa04922	Glucagon signaling pathway
T25464	hsa05010	Alzheimer's disease
T25464	hsa05014	Amyotrophic lateral sclerosis (ALS)
T25464	hsa05031	Amphetamine addiction
T25464	hsa05152	Tuberculosis
T25464	hsa05166	HTLV-I infection
T26623	hsa00040	Pentose and glucuronate interconversions
T26623	hsa00051	Fructose and mannose metabolism
T26623	hsa00052	Galactose metabolism
T26623	hsa00561	Glycerolipid metabolism
T26623	hsa01100	Metabolic pathways
T27376	hsa04080	Neuroactive ligand-receptor interaction
T27376	hsa04723	Retrograde endocannabinoid signaling
T27376	hsa04727	GABAergic synapse
T27376	hsa05032	Morphine addiction
T27376	hsa05033	Nicotine addiction
T27812	hsa04726	Serotonergic synapse
T28076	hsa04010	MAPK signaling pathway
T28076	hsa04014	Ras signaling pathway
T28076	hsa04015	Rap1 signaling pathway
T28076	hsa04151	PI3K-Akt signaling pathway
T28076	hsa04810	Regulation of actin cytoskeleton
T28076	hsa05200	Pathways in cancer
T28076	hsa05218	Melanoma
T28265	hsa04610	Complement and coagulation cascades
T28692	hsa00561	Glycerolipid metabolism
T28692	hsa03320	PPAR signaling pathway
T28692	hsa05010	Alzheimer's disease
T28722	hsa04080	Neuroactive ligand-receptor interaction
T28722	hsa04723	Retrograde endocannabinoid signaling
T28722	hsa04727	GABAergic synapse
T28722	hsa05032	Morphine addiction
T28722	hsa05033	Nicotine addiction
T28893	hsa04020	Calcium signaling pathway
T28893	hsa04024	cAMP signaling pathway
T28893	hsa04080	Neuroactive ligand-receptor interaction
T28893	hsa04151	PI3K-Akt signaling pathway
T28893	hsa04725	Cholinergic synapse
T28893	hsa04810	Regulation of actin cytoskeleton
T28925	hsa00230	Purine metabolism
T28925	hsa00983	Drug metabolism - other enzymes
T28925	hsa01100	Metabolic pathways
T28993	hsa00531	Glycosaminoglycan degradation
T28993	hsa01100	Metabolic pathways
T28993	hsa04142	Lysosome
T29130	hsa04062	Chemokine signaling pathway
T29130	hsa04066	HIF-1 signaling pathway
T29130	hsa04068	FoxO signaling pathway
T29130	hsa04550	Signaling pathways regulating pluripotency of stem cells
T29130	hsa04630	Jak-STAT signaling pathway
T29130	hsa04917	Prolactin signaling pathway
T29130	hsa04920	Adipocytokine signaling pathway
T29130	hsa05145	Toxoplasmosis
T29130	hsa05160	Hepatitis C
T29130	hsa05161	Hepatitis B
T29130	hsa05162	Measles
T29130	hsa05169	Epstein-Barr virus infection
T29130	hsa05200	Pathways in cancer
T29130	hsa05203	Viral carcinogenesis
T29130	hsa05205	Proteoglycans in cancer
T29130	hsa05206	MicroRNAs in cancer
T29130	hsa05212	Pancreatic cancer
T29130	hsa05221	Acute myeloid leukemia
T29130	hsa05321	Inflammatory bowel disease (IBD)
T29303	hsa04728	Dopaminergic synapse
T29500	hsa04020	Calcium signaling pathway
T29500	hsa04022	cGMP-PKG signaling pathway
